BG10158	CDS	+	116022	116534
BG10159	CDS	+	116597	117253
BG10160	CDS	+	117346	117495
BG10161	CDS	+	117529	117708
BG10162	CDS	+	117887	118420
BG10163	CDS	+	118588	119013
BG10164	CDS	+	119107	119805
BG11220	CDS	+	120057	120557
BG10726	CDS	+	120604	120975
BG10727	CDS	+	121065	121670
BG10728	CDS	+	121916	125497
BG10729	CDS	+	125559	129158
BG11365	CDS	+	129339	129587
BG19009	CDS	+	129701	130117
BG19006	CDS	+	130159	130629
BG11939	CDS	+	130683	132761
BG11056	CDS	+	132881	134071
BG11988	CDS	+	134170	135126
BG19008	CDS	+	135362	135670
BG11218	CDS	+	135710	136339
BG11219	CDS	+	136367	136990
BG11221	CDS	+	136990	137277
BG11217	CDS	+	137309	138142
BG19011	CDS	+	138200	138478
BG11078	CDS	+	138495	138836
BG19005	CDS	+	138840	139496
BG10755	CDS	+	139498	139932
BG10756	CDS	+	139922	140122
BG10757	CDS	+	140145	140408
BG10758	CDS	+	140449	140817
BG10759	CDS	+	140855	141166
BG10760	CDS	+	141193	141732
BG10761	CDS	+	141755	141940
BG10762	CDS	+	141972	142370
BG11408	CDS	+	142400	142939
BG11409	CDS	+	142972	143334
BG10442	CDS	+	143359	143859
BG10443	CDS	+	143873	144052
BG10444	CDS	+	144083	144523
BG10445	CDS	+	144525	145820
BG10446	CDS	+	145875	146528
BG10447	CDS	+	146525	147271
BG11043	CDS	+	147583	147801
BG11042	CDS	+	147835	147948
BG10730	CDS	+	147971	148336
BG10731	CDS	+	148357	148752
BG10732	CDS	+	148929	149873
BG11041	CDS	+	149951	150313
BG11067	CDS	+	150441	151286
BG11989	CDS	+	151301	152131
BG11990	CDS	+	152128	152925
BG11992	CDS	+	152935	153678
BG11970	CDS	+	153841	154278
BG19007	CDS	+	154299	154691
BG11994	CDS	+	155155	155922
BG11503	CDS	+	156108	156551
BG11514	CDS	+	156611	157324
BG11494	CDS	+	157420	158478
BG10644	CDS	-	158514	159071
BG10643	CDS	+	159181	159777
BG11416	CDS	-	159778	160542
BG00100	rRNA	+	160892	162443
BG00036	rRNA	+	162609	165534
BG00037	rRNA	+	165590	165705
BG00044	rRNA	+	166498	168051
BG00107	rRNA	+	168217	171140
BG00101	rRNA	+	171196	171307
BG00102	rRNA	+	171497	173046
BG00105	rRNA	+	173213	176140
BG00106	rRNA	+	176196	176307
BG11562	CDS	+	177082	178518
BG11563	CDS	+	178733	179584
BG11565	CDS	-	179594	180163
BG10837	CDS	-	180168	181352
BG10836	CDS	-	181345	182349
BG10835	CDS	-	182368	183321
BG10834	CDS	-	183412	185001
BG10833	CDS	-	185192	186436
BG10832	CDS	-	186450	188378
BG11566	CDS	-	188406	189731
BG11567	CDS	-	189788	191155
BG11569	CDS	-	191181	192032
BG11570	CDS	-	192049	192963
BG11571	CDS	-	193134	193553
BG11572	CDS	-	193566	194021
BG11573	CDS	+	194838	195401
BG11574	CDS	+	195415	196041
BG11577	CDS	+	196202	197023
BG12703	CDS	+	197016	198467
BG12704	CDS	+	198486	199832
BG10948	CDS	+	200263	202065
BG12705	CDS	+	202112	202252
BG10165	CDS	-	202533	203444
BG10166	CDS	+	203715	204350
BG10167	CDS	+	204337	204876
BG10949	CDS	+	205395	206912
BG12706	CDS	+	206927	207169
BG12707	CDS	+	207166	209430
BG12708	CDS	+	209619	210146
BG12709	CDS	+	210210	210500
BG12710	CDS	+	210558	210932
BG12711	CDS	+	211845	213017
BG12712	CDS	+	213141	213455
BG12713	CDS	+	213926	214093
BG12714	CDS	+	214160	215392
BG12716	CDS	+	215389	215946
BG12717	CDS	+	215943	216878
BG12718	CDS	+	216897	217616
BG12719	CDS	+	217681	219027
BG12720	CDS	+	219074	219487
BG12721	CDS	+	219593	220018
BG12722	CDS	+	220264	221154
BG12723	CDS	+	221246	221917
BG12724	CDS	+	221938	222900
BG12725	CDS	+	222970	223164
BG12726	CDS	-	223207	223977
BG12727	CDS	-	224063	224920
BG12728	CDS	+	225052	226236
BG11505	CDS	+	226554	227942
BG11504	CDS	+	228054	228302
BG11506	CDS	+	228319	228510
BG11507	CDS	-	228537	229340
