BG11539 FtsY 
BG10232 FtsZ 
BG11766 Fur 
BG11939 FusA 
BG12044 GabD 
BG11328 GabP 
BG12042 GabR 
BG12043 GabT 
BG11837 GalE 
BG10581 GalK 
BG10582 GalT 
BG12746 GamA 
BG11014 GamP 
BG10827 GapA 
BG12592 GapB 
BG12839 GatA 
BG12840 GatB 
BG12838 GatC 
BG11940 GbsA 
BG11941 GbsB 
BG10113 GcaD 
BG12202 Gcp 
BG14020 GcvH 
BG11510 GcvPA 
BG11511 GcvPB 
BG11509 GcvT 
BG10545 Gdh 
BG10385 GerAA 
BG10386 GerAB 
BG10387 GerAC 
BG10640 GerBA 
BG10641 GerBB 
BG10642 GerBC 
BG10644 GerD 
BG10355 GerE 
BG11392 GerKA 
BG11393 GerKB 
BG11394 GerKC 
BG10356 GerM 
BG13095 GerPA 
BG13094 GerPB 
BG13093 GerPC 
BG13092 GerPD 
BG13091 GerPE 
BG13090 GerPF 
BG11367 GgaA 
BG11192 GgaB 
BG11838 Ggt 
BG11008 Gid 
BG10059 GidA 
BG10058 GidB 
BG11685 GlcK 
BG13075 GlcP 
BG12503 GlcR 
BG12593 GlcT 
BG11066 GlcU 
BG10910 GlgA 
BG10907 GlgB 
BG10908 GlgC 
BG10909 GlgD 
BG10911 GlgP 
BG10948 GlmS 
BG10425 GlnA 
BG11486 GlnH 
BG11487 GlnM 
BG11488 GlnP 
BG11485 GlnQ 
BG10424 GlnR 
BG10188 GlpD 
BG10186 GlpF 
BG10187 GlpK 
BG10185 GlpP 
BG10646 GlpQ 
BG10645 GlpT 
BG10811 GltA 
BG12594 GltB 
BG10810 GltC 
BG11015 GltP 
BG11942 GltR 
BG12595 GltT 
BG10154 GltX 
BG10944 GlyA 
BG11657 GlyQ 
BG11658 GlyS 
BG13386 Gmk 
BG10649 GntK 
BG10650 GntP 
BG10648 GntR 
BG10651 GntZ 
BG13147 GoxB 
BG10438 Gpr 
BG11366 GpsA 
BG19019 GreA 
BG10423 GroEL 
BG10422 GroES 
BG10663 GrpE 
BG11943 GsaB 
BG10826 GsiB 
BG10558 GspA 
BG10402 GtaB 
BG10647 GuaA 
BG10073 GuaB 
BG12392 GuaC 
BG13240 GuaD 
BG11435 GudB 
BG10177 GutB 
BG12795 GutP 
BG10178 GutR 
BG10071 GyrA 
BG10070 GyrB 
BG10655 Hag 
BG10276 Hbs 
BG10340 HemA 
BG13066 HemAT 
BG10344 HemB 
BG10342 HemC 
BG10343 HemD 
BG10429 HemE 
BG10430 HemH 
BG10345 HemL 
BG11395 HemN 
BG10341 HemX 
BG10431 HemY 
BG12999 HemZ 
BG10279 HepS 
BG10281 HepT 
BG12597 HisA 
BG12598 HisB 
BG10292 HisC 
BG12599 HisD 
BG12600 HisF 
BG12601 HisG 
BG12602 HisH 
BG12603 HisI 
BG13931 HisJ 
BG12605 HisS 
BG12606 HisZ 
BG12607 Hit 
BG11418 Hmp 
BG10095 HolB 
BG10460 Hom 
BG10659 Hpr 
BG14125 HprK 
BG14127 HprP 
BG10131 HprT 
BG10662 HrcA 
BG11359 HtpG 
BG12608 HtrA 
BG11099 HutG 
BG10667 HutH 
BG11100 HutI 
BG11101 HutM 
BG10666 HutP 
BG10668 HutU 
BG11183 HxlA 
BG11182 HxlB 
BG11184 HxlR 
BG10856 Icd 
BG10669 Idh 
BG11792 IleS 
BG10673 IlvA 
BG10670 IlvB 
BG10672 IlvC 
BG11532 IlvD 
BG10671 IlvH 
BG11043 InfA 
BG10268 InfB 
BG11944 InfC 
BG11118 IolB 
BG11119 IolC 
BG11120 IolD 
BG11121 IolE 
BG11122 IolF 
BG11123 IolH 
BG11124 IolI 
BG11364 IolR 
BG11363 IolS 
BG10852 Ipi 
BG10674 IspA 
BG10109 IspE 
BG10061 Jag 
BG13542 KamA 
BG10746 KapB 
BG12358 KapD 
BG10849 KatA 
BG11102 KatE 
BG11945 KatX 
BG10643 KbaA 
BG12610 Kbl 
BG11396 KdgA 
BG11397 KdgK 
BG11398 KdgR 
BG11399 KdgT 
BG11400 KduD 
BG11401 KduI 
BG10204 KinA 
BG10745 KinB 
BG10989 KinC 
BG13309 KinD 
BG13277 KinE 
BG14193 KipA 
BG11231 KipI 
BG11214 KipR 
BG10105 KsgA 
BG12439 LacA 
BG12435 LacR 
BG11946 LcfA 
BG12001 LctP 
BG19003 Ldh 
BG10441 LepA 
BG11948 LeuA 
BG10675 LeuB 
BG11949 LeuC 
BG11950 LeuD 
BG10676 LeuS 
BG10316 LevD 
BG10317 LevE 
BG10318 LevF 
BG10319 LevG 
BG10677 LevR 
BG10678 LexA 
BG12611 Lgt 
BG11349 LicA 
BG11347 LicB 
BG11348 LicC 
BG11350 LicH 
BG11346 LicR 
BG10474 LicT 
BG12835 LigA 
BG13680 LigB 
BG10679 Lip 
BG14038 LipA 
BG11951 LipB 
BG12612 LmrA 
BG12613 LmrB 
BG10338 LonA 
BG11077 LonB 
BG11725 LpdV 
BG10434 LplA 
BG10435 LplB 
BG10857 LplC 
BG10858 LplD 
BG12122 LrpA 
BG12123 LrpB 
BG12056 LrpC 
BG11793 LspA 
BG13866 LuxS 
BG10510 LysA 
BG10350 LysC 
BG10144 LysS 
BG10405 LytA 
BG10406 LytB 
BG10407 LytC 
BG10455 LytD 
BG11406 LytE 
BG13010 LytF 
BG10404 LytR 
BG11952 LytS 
BG11953 LytT 
BG10043 Maa 
BG12353 MaeN 
BG10324 Maf 
BG11839 MalA 
BG12421 MalL 
BG11848 MalP 
BG12614 MalS 
BG13177 ManA 
BG13176 ManP 
BG13175 ManR 
BG10447 Map 
BG10916 Mbl 
BG10861 McpA 
BG10859 McpB 
BG11533 McpC 
BG10146 McsA 
BG10147 McsB 
BG11386 Mdh 
BG12002 Mdr 
BG10680 MecA 
BG13126 Med 
BG12615 MelA 
BG10552 MenA 
BG10686 MenB 
BG13847 MenC 
BG10683 MenD 
BG10687 MenE 
BG10682 MenF 
BG10280 MenH 
BG11534 MetA 
BG12616 MetE 
BG11840 MetK 
BG10101 MetS 
BG10118 Mfd 
BG11211 MgsA 
BG12617 MiaA 
BG10329 MinC 
BG10330 MinD 
BG11764 MleA 
BG11763 MleN 
