source	BG	Bsu	Bmo	Bam	Bli	Bpu	Ban	Bce	Bth	Bwe	Bcl	Bha	Profile11
ids.tab	BG10280	BG10280 	Bmo2844 	RBAM_020910 	NT03BL2410 NT03BL2559 	BPUM_2006 	BA_1534 	BC_1513 	NT02BT1547 	BcerKBAB4_1437 	NT03BC2163 	BH1649 	Y
ids.tab	BG10281	BG10281 	Bmo101 Bmo2845 	RBAM_020900 	NT03BL2558 	BPUM_2005 BPUM_2840 	BA_1535 	BC_1514 	NT02BT1548 	BcerKBAB4_1438 	NT03BC2166 	BH1653 	Y
ids.tab	BG10313	BG10313 	Bmo1147 	RBAM_023520 	NT03BL2879 	BPUM_2254 	BA_4516 	BC_4290 	NT02BT4288 	BcerKBAB4_4145 	NT03BC1943 	BH1375 	Y
ids.tab	BG10314	BG10314 	Bmo1148 	RBAM_023510 	NT03BL2877 	BPUM_2253 	BA_4515 	BC_4289 	NT02BT4287 	BcerKBAB4_4144 	NT03BC1944 	BH1376 	Y
ids.tab	BG10321	BG10321 	NA	RBAM_015260 RBAM_025140 	NT03BL3122 	BPUM_1442 BPUM_1833 BPUM_2449 BPUM_2628 	BA_4690 BA_4991 BA_5278 	BC_4465 BC_4737 	NT02BT4450 NT02BT5041 	BcerKBAB4_4303 BcerKBAB4_4570 	NT03BC0073 NT03BC2984 	BH1785 BH3038 	
ids.tab	BG10326	BG10326 	Bmo2692 	RBAM_015110 RBAM_025080 	NT03BL3115 	BPUM_2443 	BA_4684 	BC_4446 	NT02BT4445 	BcerKBAB4_4298 BcerKBAB4_4387 	NT03BC2976 	BH3031 	Y
ids.tab	BG10327	BG10327 	Bmo2691 	RBAM_025070 	NT03BL3114 	BPUM_2442 	BA_4683 	BC_4445 	NT02BT4444 	BcerKBAB4_4297 	NT03BC2975 	BH3030 	Y
ids.tab	BG10333	BG10333 	NA	RBAM_025010 	NT03BL3106 	BPUM_2436 	BA_4676 	BC_4438 	NT02BT4437 	BcerKBAB4_4290 	NT03BC2964 	BH3011 	
ids.tab	BG10335	BG10335 	NA	RBAM_024990 	NA	BPUM_2434 	BA_4674 	BC_4436 	NT02BT4435 	BcerKBAB4_4288 	NT03BC2962 	BH3009 	
ids.tab	BG10337	BG10337 	Bmo2681 	RBAM_024970 	NT03BL3102 	BPUM_2432 	BA_4672 BA_5724 	BC_4434 BC_5477 	NT02BT4433 NT02BT5466 	BcerKBAB4_4286 BcerKBAB4_5268 	NT03BC1771 	BH1213 	Y
ids.tab	BG10339	BG10339 	Bmo2708 	RBAM_025250 	NT03BL2888 NT03BL3133 	BPUM_2015 BPUM_2460 	BA_4672 BA_4701 	BC_4434 BC_4476 	NT02BT4433 NT02BT4461 	BcerKBAB4_1428 BcerKBAB4_4314 	NT03BC2997 	BH3049 	Y
ids.tab	BG10348	BG10348 BG13903 	Bmo707 	RBAM_025560 RBAM_026950 	NT03BL3184 NT03BL3665 	BPUM_2507 	BA_4758 BA_4945 	BC_4521 BC_4691 	NT02BT4517 NT02BT4690 	BcerKBAB4_0671 BcerKBAB4_4349 	NT03BC3038 NT03BC3153 	BH1715 BH3098 	Y
ids.tab	BG10358	BG10358 	Bmo754 	RBAM_026030 	NT03BL3237 	BPUM_2543 	BA_4823 	BC_4580 	NT02BT4572 	BcerKBAB4_4410 	NT03BC3074 	BH3145 	Y
ids.tab	BG10359	BG10359 BG10996 BG11264 	Bmo753 	RBAM_026020 	NT03BL1526 NT03BL3236 	BPUM_2542 	BA_3818 BA_4822 	BC_4579 	NT02BT4571 	BcerKBAB4_4409 	NT03BC3073 	BH3144 BH4000 	Y
ids.tab	BG10371	BG10371 	Bmo810 	RBAM_026790 	NT03BL3305 	BPUM_2615 	BA_4911 BA_5314 	BC_4657 BC_5062 	NT02BT4656 NT02BT5071 	BcerKBAB4_3081 BcerKBAB4_4488 BcerKBAB4_4898 	NT03BC0332 	NA	
ids.tab	BG10372	BG10372 	Bmo809 	RBAM_026590 	NT03BL3299 	BPUM_2610 	BA_4908 	BC_4655 	NT02BT4653 	BcerKBAB4_4485 	NT03BC3137 	BH3209 	Y
ids.tab	BG10403	BG10403 	Bmo471 	RBAM_032810 	NT03BL4045 NT03BL4055 	BPUM_3218 	BA_5433 	BC_5201 	NT02BT5176 	BcerKBAB4_4993 	NA	NA	
ids.tab	BG10410	BG10410 BG13776 	Bmo1322 Bmo631 	RBAM_034310 	NT03BL4204 	BPUM_3360 	BA_5583 	BC_5338 	NT02BT5324 	BcerKBAB4_5136 	NT03BC4392 	BH2896 BH3792 	Y
ids.tab	BG10412	BG10412 	NA	RBAM_034280 	NT03BL4201 	BPUM_3357 	BA_5580 	BC_5335 	NT02BT5321 	BcerKBAB4_5133 	NT03BC4388 	BH3786 	
ids.tab	BG10417	BG10417 BG13862 	Bmo623 	RBAM_027710 RBAM_034230 	NT03BL3404 NT03BL4196 	BPUM_2709 BPUM_3350 	BA_5574 	BC_5331 	NT02BT5316 	BcerKBAB4_5129 	NT03BC4383 	BH3780 	Y
ids.tab	BG10422	BG10422 	Bmo30 	RBAM_006470 	NT03BL0653 	BPUM_0534 	BA_0266 	BC_0294 	NT02BT0303 	BcerKBAB4_0245 	NT03BC1019 	BH0561 	Y
ids.tab	BG10423	BG10241 BG10409 BG10423 	Bmo1295 Bmo29 Bmo2994 Bmo3171 Bmo607 Bmo77 	RBAM_006480 RBAM_008120 RBAM_016050 	NT03BL0654 NT03BL0860 NT03BL4206 	BPUM_0535 BPUM_0737 BPUM_1392 BPUM_2752 BPUM_2806 	BA_0267 BA_1472 BA_2171 BA_3904 BA_4540 BA_4553 	BC_0295 BC_1454 BC_1893 BC_2155 	NT02BT0304 NT02BT1488 NT02BT2160 NT02BT4309 NT02BT4321 	BcerKBAB4_0246 BcerKBAB4_0388 BcerKBAB4_1377 BcerKBAB4_4178 BcerKBAB4_4318 BcerKBAB4_4520 	NT03BC0676 NT03BC1020 NT03BC1051 NT03BC1894 NT03BC3218 	BH0562 BH1001 BH1276 BH1362 BH2014 BH3529 	Y
ids.tab	BG10442	BG10442 	NA	RBAM_001580 	NT03BL0146 	BPUM_0119 	BA_0127 	BC_0148 	NT02BT0153 	BcerKBAB4_0122 	NT03BC0204 	BH0151 	
ids.tab	BG10443	BG10443 	NA	RBAM_001590 	NT03BL0147 	BPUM_0120 	BA_0128 	BC_0149 	NT02BT0154 	BcerKBAB4_0123 	NT03BC0205 	BH0152 	
ids.tab	BG10444	BG10444 	NA	RBAM_001600 	NA	BPUM_0121 	BA_0129 	BC_0150 	NT02BT0155 	BcerKBAB4_0124 	NT03BC0206 	BH0153 	
ids.tab	BG10445	BG10445 	NA	RBAM_001610 	NT03BL0148 	BPUM_0122 	BA_0130 	BC_2740 	NT02BT0156 	BcerKBAB4_0125 	NT03BC0207 	BH0154 	
ids.tab	BG10446	BG10446 	NA	RBAM_001620 	NT03BL0149 	BPUM_0123 	BA_0131 	BC_0152 	NT02BT0157 	BcerKBAB4_0126 	NT03BC0208 	BH0155 	
ids.tab	BG10447	BG10447 	Bmo1687 	RBAM_001630 RBAM_013630 	NT03BL0150 	BPUM_0124 	BA_0132 	BC_0153 	NT02BT0158 	BcerKBAB4_0127 	NT03BC0209 NT03BC3109 NT03BC4462 	BH0156 	Y
ids.tab	BG10449	BG10449 BG13361 	Bmo483 	RBAM_014880 RBAM_032870 	NT03BL1810 NT03BL4053 	BPUM_1395 BPUM_3230 	BA_4139 	BC_3929 	NT02BT3911 	BcerKBAB4_3756 	NT03BC2701 NT03BC3514 	BH2589 	Y
ids.tab	BG10450	BG10450 	Bmo484 	RBAM_032880 	NT03BL4054 	BPUM_3231 	BA_5669 	BC_5419 	NT02BT5406 	BcerKBAB4_5213 	NA	NA	
